Group,Sample,Taxon,Sample_ID
Dark,1,Colpomenia,Dark_1
Dark,2,Dictyota,Dark_2
Dark,8,Galxaura,Dark_8
Dark,5,Jania,Dark_5
Dark,4,Padina,Dark_4
Dark,6,Red UNK,Dark_6
Dark,3,Sargassum,Dark_3
Dark,7,Ulva,Dark_7
Light,8,Cistosera,Light_8
Light,12,Colpomenia,Light_12
Light,6,Cudiom,Light_6
Light,11,Dictyota,Light_11
Light,10,Galaxaura,Light_10
Light,2,Halopteris,Light_2
Light,5,Hypnea,Light_5
Light,1,Jania,Light_1
Light,3,Namaliun,Light_3
Light,7,Padina,Light_7
Light,4,Sargassum,Light_4
Light,9,Ulva,Light_9
Light,13,Ulva,Light_13
