"Sample_MO","Sample","Taxon","Treatment","Protocol","Parameter","Value"
"Dark_1",1,"Colpomenia","Dark","rapid_light_curve","AQY",0.207569458343549
"Dark_1",1,"Colpomenia","Dark","rapid_light_curve","Am",33.9598582034005
"Dark_1",1,"Colpomenia","Dark","rapid_light_curve","Ik",163.607201533442
"Dark_1",1,"Colpomenia","Dark","rapid_light_curve","Rd",-0.344548742966204
"Dark_2",2,"Dictyota","Dark","rapid_light_curve","AQY",0.307942002541703
"Dark_2",2,"Dictyota","Dark","rapid_light_curve","Am",12.8130742275855
"Dark_2",2,"Dictyota","Dark","rapid_light_curve","Ik",41.608725415268
"Dark_2",2,"Dictyota","Dark","rapid_light_curve","Rd",0.251554012389022
"Dark_3",3,"Sargassum","Dark","rapid_light_curve","AQY",0.2409982994639
"Dark_3",3,"Sargassum","Dark","rapid_light_curve","Am",5.98163280318466
"Dark_3",3,"Sargassum","Dark","rapid_light_curve","Ik",24.820228260908
"Dark_3",3,"Sargassum","Dark","rapid_light_curve","Rd",0.0175071210353956
"Dark_4",4,"Padina","Dark","rapid_light_curve","AQY",0.215049809647831
"Dark_4",4,"Padina","Dark","rapid_light_curve","Am",40.5690075621483
"Dark_4",4,"Padina","Dark","rapid_light_curve","Ik",188.649353508309
"Dark_4",4,"Padina","Dark","rapid_light_curve","Rd",0.0866373449118526
"Dark_5",5,"Jania","Dark","rapid_light_curve","AQY",0.0679029168303748
"Dark_5",5,"Jania","Dark","rapid_light_curve","Am",8.78277547839224
"Dark_5",5,"Jania","Dark","rapid_light_curve","Ik",129.343125278876
"Dark_5",5,"Jania","Dark","rapid_light_curve","Rd",-0.144030563256971
"Dark_6",6,"Red UNK","Dark","rapid_light_curve","AQY",0.201499718313963
"Dark_6",6,"Red UNK","Dark","rapid_light_curve","Am",8.0714269487166
"Dark_6",6,"Red UNK","Dark","rapid_light_curve","Ik",40.0567654200899
"Dark_6",6,"Red UNK","Dark","rapid_light_curve","Rd",0.0774041065627906
"Dark_7",7,"Ulva","Dark","rapid_light_curve","AQY",0.14464227722501
"Dark_7",7,"Ulva","Dark","rapid_light_curve","Am",17.5998253739184
"Dark_7",7,"Ulva","Dark","rapid_light_curve","Ik",121.678292900073
"Dark_7",7,"Ulva","Dark","rapid_light_curve","Rd",0.23764429676204
"Dark_8",8,"Galaxaura","Dark","rapid_light_curve","AQY",0.134503884332498
"Dark_8",8,"Galaxaura","Dark","rapid_light_curve","Am",16.8546953797643
"Dark_8",8,"Galaxaura","Dark","rapid_light_curve","Ik",125.31010136554
"Dark_8",8,"Galaxaura","Dark","rapid_light_curve","Rd",-0.4276662271526
"Light_1",1,"Jania","Light","rapid_light_curve","AQY",0.124138383694383
"Light_1",1,"Jania","Light","rapid_light_curve","Am",33.2531204083411
"Light_1",1,"Jania","Light","rapid_light_curve","Ik",267.871382071536
"Light_1",1,"Jania","Light","rapid_light_curve","Rd",-0.392076904420246
"Light_2",2,"Halopteris","Light","rapid_light_curve","AQY",0.113757726622265
"Light_2",2,"Halopteris","Light","rapid_light_curve","Am",6.48288440203671
"Light_2",2,"Halopteris","Light","rapid_light_curve","Ik",56.9885193254898
"Light_2",2,"Halopteris","Light","rapid_light_curve","Rd",-0.0741306420140389
"Light_4",4,"Sargassum","Light","rapid_light_curve","AQY",0.152982833687472
"Light_4",4,"Sargassum","Light","rapid_light_curve","Am",30.1255228905968
"Light_4",4,"Sargassum","Light","rapid_light_curve","Ik",196.920936581291
"Light_4",4,"Sargassum","Light","rapid_light_curve","Rd",-0.670135949726572
"Light_5",5,"Hypnea","Light","rapid_light_curve","AQY",0.163451737165566
"Light_5",5,"Hypnea","Light","rapid_light_curve","Am",23.4097869866794
"Light_5",5,"Hypnea","Light","rapid_light_curve","Ik",143.221402186547
"Light_5",5,"Hypnea","Light","rapid_light_curve","Rd",0.0542624463627908
"Light_6",6,"Cudiom","Light","rapid_light_curve","AQY",0.139380135071571
"Light_6",6,"Cudiom","Light","rapid_light_curve","Am",8.82654444134221
"Light_6",6,"Cudiom","Light","rapid_light_curve","Ik",63.3271336464828
"Light_6",6,"Cudiom","Light","rapid_light_curve","Rd",0.136145009320897
"Light_7",7,"Padina","Light","rapid_light_curve","AQY",0.184118291883532
"Light_7",7,"Padina","Light","rapid_light_curve","Am",47.0819454462712
