gene,ct_dmso_control,ct_inhibitor_treatment,delta_ct_dmso_control,delta_ct_inhibitor_treatment,delta_delta_ct,fold_change
ascs,29.0940627352008,28.5086668619836,5.7984920388684,5.213096165651198,-0.5853958732172018,1.5004506540684566
Delta,25.9636895507878,25.5380033598927,2.6681188544554004,2.2424326635602974,-0.42568619089510307,1.3432112241498733
ets,24.716780449511,24.4373469505227,1.4212097531785979,1.1417762541902974,-0.2794334989883005,1.2137182018103707
foxA,24.3658914012674,23.7224687739042,1.0703207049349999,0.4268980775717992,-0.6434226273632007,1.5620305040456837
gcm,28.3543302221704,28.1782598485344,5.058759525837999,4.882689152201998,-0.17607037363600142,1.1298023241782629
NGN,28.3511911324423,27.352929546606,5.055620436109898,4.057358850273598,-0.9982615858362998,1.9975914976338227
opt,31.0204614601044,31.7081660381023,7.724890763771999,8.412595341769897,0.6877045779978985,0.6208408629071978
pak3,25.4057832936803,25.2947878331926,2.1102125973479,1.9992171368601994,-0.11099546048770037,1.0799731616378205
pak4,25.5711291918244,25.2525431447598,2.2755584954919996,1.9569724484274005,-0.31858604706459914,1.2471076875770974
pitx,29.6781722099736,31.7241672089881,6.382601513641198,8.428596512655698,2.0459949990145,0.24215538671723538
SM30,20.9687975231284,21.7663538106058,-2.326773173204,-1.5292168857266013,0.7975562874773985,0.5753228646655786
sm50,23.7002150252009,24.8107388284795,0.40464432886849977,1.5151681321470996,1.1105238032785998,0.46312585203246315
soxC,25.0720818191655,24.3279024449947,1.7765111228330994,1.0323317486622976,-0.7441793741708018,1.6750212219829848
synB,24.1262152492999,24.059478130159,0.8306445529674988,0.7639074338265992,-0.06673711914089964,1.0473452675613606
